actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,abbreviation,actor_iso3c,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,actor_desc,alternative_names
281,CON_281,Fiji,Country/State,,,,FJI,Fiji,950.0,Oceania,,,,,,,,,Government of Fiji (2015-),,Fiji is a Country/state in Oceania.,Fiji
282,CON_282,Papua New Guinea,Country/State,,,,PNG,Papua New Guinea,910.0,Oceania,,,,,,157.0,Government of Papua New Guinea,https://ucdp.uu.se/actor/157,Government of Papua New Guinea (2019-),,Papua New Guinea is a Country/state in Oceania.,Papua New Guinea | NATIONAL GOVERNMENT PAPUA NEW GUINEA | Bougainville Interim Government | Bougainville Interim Government Spokesmen | Bougainville Interim Provincial Government | Bougainville Transitional Government | Papua New Guinea Government
283,ARM_283,Sudan People's Liberation Movement/Army ,Armed Organization,,,SPLM/A,SDN,Sudan,625.0,Africa,,,,,,466.0,SPLM/A,https://ucdp.uu.se/actor/466,SPLM/A: Sudan People's Liberation Movement/Army,,Sudan People's Liberation Movement/Army  None is an Armed Organization based in Sudan.,Sudan People's Liberation Movement | Sudan People Liberation Army | Sudan People Liberation Movement | Sudan People Liberation Movement / Army | Sudan People Liberation Movement / Army - North | Sudan People Liberation Movement / Sudan People Liberation Army | Sudan People Liberation Movement/ Army | Sudan Peoples ' Liberation Movement Ross Mountain United Nations | Sudan Peoples Liberation Movement | SPLM - Detainees | SPLM - FDs | SPLM - IG | SPLM - United | SPLM / | SPLM / - N | SPLM / NUBA | SPLM / SPLA | SPLM County
284,OTH_284,USAID,Other,Government agency,,,USA,United States,2.0,Americas,,1.0,,,,,,,,,USAID None is a government agency based in United States.,
285,CON_285,Libya,Country/State,,,,LBY,Libya,620.0,Africa,,,,,,111.0,Government of Libya,https://ucdp.uu.se/actor/111,Government of Libya (2012-2014),Government of Libya (1969-2011) | Government of Libya (2011-2012) | Government of Libya (2012-2014) | Government of Libya (2014-) General National Congress | Government of Libya (2014-) House of Representatives | Government of Libya (2016-2021) Government of National Accord | Government of Libya (2021-) Government of National Unity | Government of Libya (2022-) Parliament-Appointed Government,Libya is a Country/state in Africa.,Libya | LIBYAN ARAB JAMAHIRIYA | Great Socialist People's Libyan Arab Jamahiriya
286,ENT_286,Chittagong Hill Tracts,Entity,,,,BGD,Bangladesh,771.0,Asia,,,,,,,,,,,Chittagong Hill Tracts is an entity (Bangladesh).,
287,CON_287,Bangladesh,Country/State,,,,BGD,Bangladesh,771.0,Asia,,,,,,143.0,Government of Bangladesh,https://ucdp.uu.se/actor/143,Government of Bangladesh (2009-),,Bangladesh is a Country/state in Asia.,Bangladesh | People's Republic Bangladesh | Peoples  Republic Bangladesh  SD/- | People's Republic of Bangladesh | People Ã¢â‚¬â„¢s Republic Bangladesh
288,CON_288,Afghanistan,Country/State,,,,AFG,Afghanistan,700.0,Asia,,,,,,130.0,Government of Afghanistan,https://ucdp.uu.se/actor/130,Government of Afghanistan (2021-),Government of Afghanistan (2014-2021) | Government of Afghanistan (2021-),Afghanistan is a Country/state in Asia.,Afghanistan | Islamic Republic of Afghanistan | Islamic Republic Afghanistan | Afghan Government | Afghan Interim Administration
289,CON_289,Iran (Islamic Republic of),Country/State,,,,IRN,Iran,630.0,Asia,,,,,,114.0,Government of Iran,https://ucdp.uu.se/actor/114,Government of Iran (1989-),,Iran (Islamic Republic of) is a Country/state in Asia.,"Iran (Persia) | IRAN, ISLAMIC REPUBLIC OF | Iran | Islamic Republic Iran"
290,CON_290,Cameroon,Country/State,,,,CMR,Cameroon,471.0,Africa,,,,,,83.0,Government of Cameroon,https://ucdp.uu.se/actor/83,Government of Cameroon (1982-),,Cameroon is a Country/state in Africa.,Cameroon | Republic Cameroon | Republic Cameroon :
291,MIL_291,Armed Forces of the Philippines,Military,,,,PHL,Philippines,840.0,Asia,,,,,,,,,Military Forces of the Philippines (2016-),Military Forces of the Philippines (2010-2016) | Military Forces of the Philippines (2010-2016) Citizen Armed Force Geographical Unit | Military Forces of the Philippines (2010-2016) Philippine Marine Corps | Military Forces of the Philippines (2010-2016) Scout Ranger | Military Forces of the Philippines (2016-) Citizen Armed Force Geographical Unit | Military Forces of the Philippines (2016-) Coast Guard | Military Forces of the Philippines (2016-) Philippine Air Force | Military Forces of the Philippines (2016-) Philippine Marine Corps | Military Forces of the Philippines (2016-) Philippine Navy | Military Forces of the Philippines (2016-) Presidential Security Group | Military Forces of the Philippines (2016-) Scout Ranger | Military Forces of the Philippines (2016-) Special Forces Regiment,Armed Forces of the Philippines refers to the military/army of Philippines.,AFP
292,CON_292,Brunei,Country/State,,,,BRN,Brunei,835.0,Asia,,,,,,,,,Government of Brunei (1984-),,Brunei is a Country/state in Asia.,Brunei | BRUNEI DARUSSALAM
293,ARM_293,Khmer People’s National Liberation Front,Armed Organization,,,KPNLF,KHM,Cambodia,811.0,Asia,,,,,,272.0,KPNLF,https://ucdp.uu.se/actor/272,Former KPNLF: Khmer People's National Liberation Front (Cambodia),,Khmer People’s National Liberation Front None is an Armed Organization based in Cambodia.,
294,CON_294,Japan,Country/State,,,,JPN,Japan,740.0,Asia,,,,,,140.0,Government of Japan,https://ucdp.uu.se/actor/140,Government of Japan (2012-),,Japan is a Country/state in Asia.,Japan
295,CON_295,Thailand,Country/State,,,,THA,Thailand,800.0,Asia,,,,,,147.0,Government of Thailand,https://ucdp.uu.se/actor/147,Government of Thailand (2019-),Government of Thailand (2008-2011) | Government of Thailand (2014-2019) | Government of Thailand (2019-),Thailand is a Country/state in Asia.,Thailand | Kingdom Thailand
296,CON_296,Singapore,Country/State,,,,SGP,Singapore,830.0,Asia,,,,,,153.0,Government of Singapore,https://ucdp.uu.se/actor/153,Government of Singapore (1965-),,Singapore is a Country/state in Asia.,Singapore | Republic Singapore | Republic of Singapore
297,CON_297,Vietnam,Country/State,,,,VNM,Vietnam,816.0,Asia,,,,,,150.0,Government of Vietnam (North Vietnam),https://ucdp.uu.se/actor/150,Government of Vietnam (1976-),,Vietnam is a Country/state in Asia.,"Vietnam, Republic of | VIETNAM | Socialist Republic of Vietnam | Socialist Republic Viet Nam | Socialist Republic Vietnam"
298,CON_298,Laos,Country/State,,,,LAO,Laos,812.0,Asia,,,,,,149.0,Government of Laos,https://ucdp.uu.se/actor/149,Government of Laos (1991-),,Laos is a Country/state in Asia.,Laos | LAO PEOPLE'S DEMOCRATIC REPUBLIC
299,ARM_299,Farabundo Martí National Liberation Front,Armed Organization,,,FMLN,SLV,El Salvador,92.0,Americas,,,,,,755.0,FMLN,https://ucdp.uu.se/actor/755,FMLN: Farabundo Marti National Liberation Front,,Farabundo Martí National Liberation Front None is an Armed Organization based in El Salvador.,Frente Farabundo Martí para la Liberación Nacional
300,CON_300,El Salvador,Country/State,,,,SLV,El Salvador,92.0,Americas,,,,,,13.0,Government of El Salvador,https://ucdp.uu.se/actor/13,Government of El Salvador (2019-),,El Salvador is a Country/state in Americas.,El Salvador | El Salvadort | Republic El Salvador
301,CON_301,Sri Lanka,Country/State,,,,LKA,Sri Lanka,780.0,Asia,,,,,,145.0,Government of Sri Lanka,https://ucdp.uu.se/actor/145,Government of Sri Lanka (2015-2019),,Sri Lanka is a Country/state in Asia.,Sri Lanka (Ceylon) | SRI LANKA | Government Sri Lanka | Sri Lankan Government
302,ARM_302,Liberation Tigers of Tamil Eelam,Armed Organization,,,LTTE,LKA,Sri Lanka,780.0,Asia,,,,,,320.0,LTTE,https://ucdp.uu.se/actor/320,LTTE: Liberation Tigers of Tamil Eelam,,Liberation Tigers of Tamil Eelam None is an Armed Organization based in Sri Lanka.,Liberation Tigers
303,OTH_303,Presidential Council,Other,,,,YEM,Yemen,678.0,Asia,,,,1.0,,,,,,,Presidential Council is an Other actor.,
304,CON_304,Yemen,Country/State,,,,YEM,Yemen,678.0,Asia,,,,,,123.0,Government of Yemen (North Yemen),https://ucdp.uu.se/actor/123,Government of Yemen (2012-),Government of Yemen (2012-) | Government of Yemen (2015-2016) Supreme Revolutionary Committee | Government of Yemen (2016-) Supreme Political Council,Yemen is a Country/state in Asia.,Yemen (Arab Republic of Yemen) | YEMEN | Republic Yemen | Republic of Yemen | Government Yemen | Yemeni Government
305,POL_305,Democratic Kampuchea,Political Party,,,,KHM,Cambodia,811.0,Asia,,,,,,,,,,,Democratic Kampuchea None is a Political Party based in Cambodia.,Khmer Rouge
306,CON_306,Guatemala ,Country/State,,,,GTM,Guatemala,90.0,Americas,,,,,,11.0,Government of Guatemala,https://ucdp.uu.se/actor/11,Government of Guatemala (2020-),Government of Guatemala (2016-2020) | Government of Guatemala (2020-),Guatemala  is a Country/state in Americas.,Guatemala | Republic Guatemala | Republic Guatimala  Rafael Leonardo CALLEJAS | Guatemalan Government :
307,ARM_307,Guatemalan National Revolutionary Unity,Armed Organization,,,URNG,GTM,Guatemala,90.0,Americas,,,,,,732.0,URNG,https://ucdp.uu.se/actor/732,,,Guatemalan National Revolutionary Unity None is an Armed Organization based in Guatemala.,Unidad Revolucionaria Nacional Guatemalteca
308,ARM_308,Movement for Democracy in Liberia,Armed Organization,,,MODEL,LBR,Liberia,450.0,Africa,,,,,,510.0,MODEL,https://ucdp.uu.se/actor/510,MODEL: Movement for Democracy in Liberia,Former MODEL: Movement for Democracy in Liberia,Movement for Democracy in Liberia None is an Armed Organization based in Liberia.,
309,ARM_309,Liberians United for Reconciliation and Democracy,Armed Organization,,,LURD,LBR,Liberia,450.0,Africa,,,,,,509.0,LURD,https://ucdp.uu.se/actor/509,LURD: Liberians United for Reconciliation and Democracy,,Liberians United for Reconciliation and Democracy None is an Armed Organization based in Liberia.,
310,POL_310,Yemeni Socialist Party,Political Party,,,YSP,YEM,Yemen,678.0,Asia,,,,,,,,,,,Yemeni Socialist Party None is a Political Party based in Yemen.,
311,POL_311,General People's Congress,Political Party,,,GPC,YEM,Yemen,678.0,Asia,,,,,,,,,,,General People's Congress None is a Political Party based in Yemen.,
312,IGO_312,Intergovernmental Authority on Development,Intergovernmental Organization,Regional,,IGAD,,,,Africa,,,1.0,,,,,,,,Intergovernmental Authority on Development None is an regional intergovernmental organization based in Africa.,"Intergovernmental Authority On Development | IGAD | Inter-Governmental Authority On Development | IGAD - South Sudan Office Representative Facilitator | IGAD & AU | IGAD African Union | IGAD Assembly | IGAD Chair | IGAD Council Ministers | IGAD Council Ministers H.E. Tedros Adhanom | IGAD Envoys | IGAD Ministerial Sub - Committee | IGAD Partners | IGAD Partners Forum | IGAD Partners Forum Representatives | IGAD Special | IGAD Special Envoy Somalia | IGAD Special Envoys | IGAD Sub - Committee | Intergovernmental Authority Development | Intergovernmental Authority Development ( IGAD ) | Special Envoy IGAD Sudan | IPF | Chair IGAD | Chair IGAD  Republic Uganda  Republic Sudan  Republic Djibouti  Republic Somalia  Republic Kenya  B | Chairperson IGAD | Inter - Governmental Authority Development , League Arab States | Intergovernmental Authority on Development (IGAD)/Inter-Governmental Authority o | Inter-Gov Authority on Drought Protection"
313,ARM_313,Republika Srpska,Armed Organization,,,,BIH,Bosnia and Herzegovina,346.0,Europe,,,,,,339.0,Serbian Republic of Bosnia-Herzegovina,https://ucdp.uu.se/actor/339,,,Republika Srpska None is an Armed Organization based in Bosnia and Herzegovina.,Army Republika Srpska | Army of Republika Srpska | Republic Srpska | REPUBLIC SRPSKA Dr Radovan Karadzic | Republika Srpska
314,ARM_314,United Liberation Movement of Liberia for Democracy,Armed Organization,,,ULIMO,LBR,Liberia,450.0,Africa,,,,,,697.0,ULIMO,https://ucdp.uu.se/actor/697,ULIMO: United Liberation Movement of Liberia for Democracy,ULIMO-J: United Liberation Movement of Liberia for Democracy (Jonshon Faction) ULIMO-K: United Liberation Movement of Liberia for Democracy (Kromah Faction),United Liberation Movement of Liberia for Democracy None is an Armed Organization based in Liberia.,
315,IGO_315,UN General Assembly,Intergovernmental Organization,,,UNGA,,,,,United Nations,1.0,,,,,,,,,UN General Assembly None is an office of the United Nations.,United Nations General Assembly | UNGA | General Assembly | Un General Assembly
316,CON_316,Venezuela,Country/State,,,,VEN,Venezuela,101.0,Americas,,,,,,18.0,Government of Venezuela,https://ucdp.uu.se/actor/18,Government of Venezuela (1999-),Government of Venezuela (1999-) | Government of Venezuela (2019-) Transitional Government,Venezuela is a Country/state in Americas.,"Venezuela | VENEZUELA, BOLIVARIAN REPUBLIC OF | Bolivarian Republic Venezuela"
317,ARM_317,Bougainville Revolutionary Army,Armed Organization,,,BRA,PNG,Papua New Guinea,910.0,Oceania,,,,,,289.0,BRA,https://ucdp.uu.se/actor/289,,,Bougainville Revolutionary Army None is an Armed Organization based in Papua New Guinea.,Bougainville Republican Army
319,POL_319,Independent Labor Party,Political Party,,,PIT,BDI,Burundi,516.0,Africa,,,,,,,,,,,Independent Labor Party None is a Political Party based in Burundi.,Parti IndÃ©pendant des Travailleurs
320,POL_320,Union for National Progress,Political Party,,,UPRONA,BDI,Burundi,516.0,Africa,,,,,,,,,,,Union for National Progress None is a Political Party based in Burundi.,Union pour le ProgrÃ¨s national
321,POL_321,Front for Democracy in Burundi,Political Party,,,FRODEBU,BDI,Burundi,516.0,Africa,,,,,,,,,,,Front for Democracy in Burundi None is a Political Party based in Burundi.,Front pour la DÃ©mocratie auÂ Burundi
322,POL_322,Rally for the People of Burundi,Political Party,,,RPB,BDI,Burundi,516.0,Africa,,,,,,,,,,,Rally for the People of Burundi None is a Political Party based in Burundi.,Rassemblement du peuple Burundais
323,POL_323,National Alliance for Law and Economic Development,Political Party,,,ANADDE,BDI,Burundi,516.0,Africa,,,,,,,,,,,National Alliance for Law and Economic Development None is a Political Party based in Burundi.,Alliance Nationale pour le Droit et le DÃ©veloppement
324,POL_324,Social Democratic Party,Political Party,,,PSD,BDI,Burundi,516.0,Africa,,,,,,,,,,,Social Democratic Party None is a Political Party based in Burundi.,Parti Social-DÃ©mocrate
325,POL_325,Pan Africanist Socialist Movement-Inkinzo,Political Party,,,Inkinzo,BDI,Burundi,516.0,Africa,,,,,,,,,,,Pan Africanist Socialist Movement-Inkinzo None is a Political Party based in Burundi.,Parti Socialiste et Panafricaniste
326,POL_326,People's Party,Political Party,,,PP,BDI,Burundi,516.0,Africa,,,,,,,,,,,People's Party None is a Political Party based in Burundi.,Parti du Peuple
327,POL_327,Liberal Party,Political Party,,,PL,BDI,Burundi,516.0,Africa,,,,,,,,,,,Liberal Party None is a Political Party based in Burundi.,Parti Liberal
328,POL_328,Rally for Democracy and Economic and Social Development,Political Party,,,RADDES,BDI,Burundi,516.0,Africa,,,,,,,,,,,Rally for Democracy and Economic and Social Development None is a Political Party based in Burundi.,Ralliement pour la DÃ©mocratie et le DÃ©veloppement Ã‰conomique et Social
329,POL_329,Alliance of the Valiant,Political Party,,,AV-INTWARI,BDI,Burundi,516.0,Africa,,,,,,,,,,,Alliance of the Valiant None is a Political Party based in Burundi.,Alliance des Vaillants
330,POL_330,Palipehutu,Political Party,,,,BDI,Burundi,516.0,Africa,,,,,,,,,,,Palipehutu None is a Political Party based in Burundi.,
331,POL_331,People's Reconciliation Party,Political Party,,,PRP,BDI,Burundi,516.0,Africa,,,,,,,,,,,People's Reconciliation Party None is a Political Party based in Burundi.,Parti de la RÃ©conciliation des Personnes
332,POL_332,Party for National Recovery,Political Party,,,PARENA,BDI,Burundi,516.0,Africa,,,,,,,,,,,Party for National Recovery None is a Political Party based in Burundi.,Parti pour le Redressement National
333,ARM_333,National Liberation Front,Armed Organization,,,FROLINA,BDI,Burundi,516.0,Africa,,,,,,433.0,Frolina,https://ucdp.uu.se/actor/433,FROLINA: National Liberation Front,,National Liberation Front None is an Armed Organization based in Burundi.,Front pour la libÃ©ration nationale
334,POL_334,Burundo-African Alliance for Salvation,Political Party,,,ABASA,BDI,Burundi,516.0,Africa,,,,,,,,,,,Burundo-African Alliance for Salvation None is a Political Party based in Burundi.,Alliance Burundo-Africaine pour le Salut
335,CON_335,Zambia,Country/State,,,,ZMB,Zambia,551.0,Africa,,,,,,3986.0,Government of Zambia,https://ucdp.uu.se/actor/3986,Government of Zambia (2021-),Government of Zambia (2011-2021) | Government of Zambia (2021-),Zambia is a Country/state in Africa.,Zambia | Republic Zambia | Republic of Zambia
336,ARM_336,National Council for the Defense of Democracy,Armed Organization,,,CNDD,BDI,Burundi,516.0,Africa,,,,,,431.0,CNDD,https://ucdp.uu.se/actor/431,CNDD: National Council for Democracy and Development,,National Council for the Defense of Democracy None is an Armed Organization based in Burundi.,Conseil national pour la dÃ©fense de la dÃ©mocratie
337,NGO_337,Mwalimu Nyerere Foundation,Civil Society,Non-governmental Organization,Other,,,,,,,1.0,,1.0,,,,,,,Mwalimu Nyerere Foundation is a non-governmental organisation/civil society representative based in nan.,
338,IGO_338,La Francophonie,Intergovernmental Organization,,,OIF,,,,,,1.0,,,,,,,,,La Francophonie None is an international intergovernmental organization.,Organisation Internationale De La Francophonie | La Francophonie | OIF | International Organization Of The Francophonie | Francophonie | International Organisation la Francophonie | International Organization Francophonie | International Organization Francophonie - PIERRE | International Organization la Francophonie | Madagascar Pour l'Organisation Internationale de la Francophonie Edem Kodjo Pour
339,CON_339,Rwanda,Country/State,,,,RWA,Rwanda,517.0,Africa,,,,,,94.0,Government of Rwanda,https://ucdp.uu.se/actor/94,Government of Rwanda (1994-),,Rwanda is a Country/state in Africa.,Rwanda | Republic Rawanda | Republic Rwanda | Government Republic Rwanda
340,OTH_340,National Reconciliation Commission,Other,,,,GTM,Guatemala,90.0,Americas,,,,1.0,,,,,,,National Reconciliation Commission is an Other actor.,
341,ENT_341,Bougainville Interim Provincial Government,Entity,,,,PNG,Papua New Guinea,910.0,Oceania,,,,,,,,,,,Bougainville Interim Provincial Government is an entity (Papua New Guinea).,
342,POL_342,Bougainville Peoples Congress,Political Party,,,,PNG,Papua New Guinea,910.0,Oceania,,,,,,,,,,,Bougainville Peoples Congress None is a Political Party based in Papua New Guinea.,
343,ARM_343,Bougainville Resistance Forces,Armed Organization,,,,PNG,Papua New Guinea,910.0,Oceania,,,,,,,,,,,Bougainville Resistance Forces None is an Armed Organization based in Papua New Guinea.,
344,NGO_344,Bougainville Women,Civil Society,Non-governmental Organization,Women,,PNG,Papua New Guinea,910.0,Oceania,,,,1.0,1.0,,,,,,Bougainville Women is a civil society representative for women in Papua New Guinea.,
345,ENT_345,Bougainville Transitional Government,Entity,,,,PNG,Papua New Guinea,910.0,Oceania,,,,,,,,,,,Bougainville Transitional Government is an entity (Papua New Guinea).,
346,IGO_346,League of Arab States,Intergovernmental Organization,Regional,,LOAS,,,,Africa,,,1.0,,,,,,,,League of Arab States None is an regional intergovernmental organization based in Africa.,League Of Arab States | Arab League | League Arab States
347,IGO_347,Nonaligned Movement,Intergovernmental Organization,,,NAM,,,,,,1.0,,,,,,,,,Nonaligned Movement None is an international intergovernmental organization.,Non-Aligned Movement | Nonaligned Movement | NAM | Non-Aligned Movement (NAM) | Movement of Non-Aligned Countries | Movement Non-Aligned Countries
348,CON_348,Serbia,Country/State,,,,SRB,Serbia,340.0,Europe,,,,,,49.0,Government of Serbia (Yugoslavia),https://ucdp.uu.se/actor/49,Government of Serbia (2017-),,Serbia is a Country/state in Europe.,Serbia | Post Serbia | Republic Serbia | Serbian Representatives | Serbian Republic Bosnia Herzegovina
349,IGO_349,Southern African Development Community,Intergovernmental Organization,Regional,,SADC,,,,Africa,,,1.0,,,,,,,,Southern African Development Community None is an regional intergovernmental organization based in Africa.,Southern African Development Community | SADC | Southern African Dev. Community | Southern African Development Community (SADC) | SADC Faciliatator
350,CON_350,Zimbabwe,Country/State,,,,ZWE,Zimbabwe,552.0,Africa,,,,,,101.0,Government of Zimbabwe (Rhodesia),https://ucdp.uu.se/actor/101,Government of Zimbabwe (2017-),,Zimbabwe is a Country/state in Africa.,Zimbabwe (Rhodesia) | ZIMBABWE | Republic Zimbabwe | Parliament Zimbabwe
351,ARM_351,National Council for the Defense of Democracy–Forces for the Defense of Democracy,Armed Organization,,,CNDD-FDD,BDI,Burundi,516.0,Africa,,,,,,434.0,CNDD-FDD ,https://ucdp.uu.se/actor/434,CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,,National Council for the Defense of Democracy–Forces for the Defense of Democracy None is an Armed Organization based in Burundi.,Conseil national pour la dÃ©fense de la dÃ©mocratie - Forces pour la dÃ©fense de la dÃ©mocratie
352,IGO_352,Community of Portuguese-Speaking Countries,Intergovernmental Organization,,,CPLP,,,,,,1.0,,,,,,,,,Community of Portuguese-Speaking Countries None is an international intergovernmental organization.,Comunidade dos PaÃ­ses de LÃ­ngua Portuguesa | Lusophone Commonwealth | Comm Portugese Speaking Countries | Community of Portuguese-Speaking Countries
353,CON_353,São Tomé and Príncipe,Country/State,,,,STP,Sao Tome and Principe,403.0,Africa,,,,,,,,,,,São Tomé and Príncipe is a Country/state in Africa.,SÃƒÂ£o TomÃƒÂ© and PrÃƒÂ­ncipe | SAO TOME AND PRINCIPE
354,CON_354,Cape Verde,Country/State,,,,CPV,Cabo Verde,402.0,Africa,,,,,,,,,Government of Cape Verde (2021-),,Cape Verde is a Country/state in Africa.,"Cape Verde | Cape Verde , Cote d'Ivoire | Republic Cape | Republic Cape Verde"
355,IGO_355,United Nations Protection Force (UNPROFOR),Intergovernmental Organization,,,UNPROFOR,,,,,UN Mission,1.0,,,,,,,,,United Nations Protection Force (UNPROFOR) None is a mission led by the United Nations.,United Nations Protection Force
356,ENT_356,Bougainville,Entity,,,,PNG,Papua New Guinea,910.0,Oceania,,,,,,,,,,,Bougainville is an entity (Papua New Guinea).,
357,ARM_357,Armed Forces Revolutionary Council,Armed Organization,,,AFRC,SLE,Sierra Leone,451.0,Africa,,,,,,533.0,AFRC,https://ucdp.uu.se/actor/533,AFRC: Armed Forces Revolutionary Council,,Armed Forces Revolutionary Council None is an Armed Organization based in Sierra Leone.,
358,CON_358,Somalia,Country/State,,,,SOM,Somalia,520.0,Africa,,,,,,95.0,Government of Somalia,https://ucdp.uu.se/actor/95,Government of Somalia (2017-),Government of Somalia (2004-2012) | Government of Somalia (2012-2017) | Government of Somalia (2017-) | Government of Somalia (2017-) Galmudug Administration | Government of Somalia (2017-) Puntland State | Government of Somaliland (2010-),Somalia is a Country/state in Africa.,Somalia | Federal Republic Somalia | Republic Somalia | Somali | Somali Republic | Somali Regional State | Somali Federal Government | Somali Government | Federal Government Somalia | Federal Government of Somalia | FGS
359,ARM_359,Islamic Courts Union,Armed Organization,,,ICU,SOM,Somalia,520.0,Africa,,,,,,505.0,ARS/UIC,https://ucdp.uu.se/actor/505,ICU: Islamic Courts Union,,Islamic Courts Union None is an Armed Organization based in Somalia.,
360,OTH_360,Political and Diplomatic Commission,Other,,,,GTM,Guatemala,90.0,Americas,,,,1.0,,,,,,,Political and Diplomatic Commission is an Other actor.,
361,ARM_361,Palipehutu-FNL,Armed Organization,,,FNL,BDI,Burundi,516.0,Africa,,,,,,432.0,Palipehutu-FNL,https://ucdp.uu.se/actor/432,PALIPEHUTU-FNL: National Forces for Liberation-Party for the Liberation of the Hutu People,,Palipehutu-FNL None is an Armed Organization based in Burundi.,Party for the Liberation of the Hutu Peopleâ€“National Forces of Liberation | Parti pour la libÃ©ration du peuple hutuâ€“Forces nationalesde liberation | National Forces of Liberation | Forces nationales de libÃ©ration
362,POL_362,Liberia National Union,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,Liberia National Union None is a Political Party based in Liberia.,
363,POL_363,Equal Rights Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,Equal Rights Party None is a Political Party based in Liberia.,
364,POL_364,United People's Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,United People's Party None is a Political Party based in Liberia.,
365,POL_365,True Whig Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,True Whig Party None is a Political Party based in Liberia.,
366,POL_366,All-Liberian Coalition Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,All-Liberian Coalition Party None is a Political Party based in Liberia.,
367,POL_367,Reformation Alliance Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,Reformation Alliance Party None is a Political Party based in Liberia.,
368,POL_368,Progressive Peoples Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,Progressive Peoples Party None is a Political Party based in Liberia.,
369,POL_369,National Reform Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,National Reform Party None is a Political Party based in Liberia.,
370,POL_370,Free Democracy Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,Free Democracy Party None is a Political Party based in Liberia.,
371,OTH_371,Inter-religious Council for Liberia,Civil Society,Religious,,,LBR,Liberia,450.0,Africa,,,,1.0,,,,,,,Inter-religious Council for Liberia is a religious representative.,
372,OTH_372,Mano River Women Peace Network,Civil Society,Non-governmental Organization,Women,,LBR,Liberia,450.0,Africa,,,,1.0,1.0,,,,,,Mano River Women Peace Network is a civil society representative for women in Liberia.,
373,POL_373,New Deal Movement,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,New Deal Movement None is a Political Party based in Liberia.,
374,POL_374,National Democratic Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,National Democratic Party None is a Political Party based in Liberia.,
375,OTH_375,Liberia Leadership Forum,Other,,,,LBR,Liberia,450.0,Africa,,,,1.0,,,,,,,Liberia Leadership Forum is an Other actor.,
376,POL_376,Liberian Action Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,Liberian Action Party None is a Political Party based in Liberia.,
377,NGO_377,Civil Society,Civil Society,Non-governmental Organization,Other,,LBR,Liberia,450.0,Africa,,,,1.0,,,,,,,Civil Society is a non-governmental organisation/civil society representative based in Liberia.,
378,POL_378,People's Democratic Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,People's Democratic Party None is a Political Party based in Liberia.,
379,POL_379,National Patriotic Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,National Patriotic Party None is a Political Party based in Liberia.,
380,POL_380,Unity Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,300.0,Hizb-i Wahdat,https://ucdp.uu.se/actor/300,,,Unity Party None is a Political Party based in Liberia.,
381,POL_381,Liberians People's Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,Liberians People's Party None is a Political Party based in Liberia.,
382,POL_382,Labor Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,Labor Party None is a Political Party based in Liberia.,
383,POL_383,Liberia Unification Party,Political Party,,,,LBR,Liberia,450.0,Africa,,,,,,,,,,,Liberia Unification Party None is a Political Party based in Liberia.,
384,OTH_384,Liberian Bar Association,Civil Society,Non-governmental Organization,Other,,LBR,Liberia,450.0,Africa,,,,1.0,,,,,,,Liberian Bar Association is a non-governmental organisation/civil society representative based in Liberia.,
385,OTH_385,Liberians in Diaspora,Civil Society,Non-governmental Organization,Other,,LBR,Liberia,450.0,Africa,,1.0,,1.0,,,,,,,Liberians in Diaspora is a non-governmental organisation/civil society representative based in Liberia.,
386,IGO_386,UN Secretary General,Intergovernmental Organization,,,UNSG,,,,,United Nations,1.0,,,,,,,,,UN Secretary General None is an office of the United Nations.,António Guterres | United Nations SecretaryÃƒÂ¢Ã¢â€šÂ¬Ã‚ÂGeneral | UNSG | UNSRSG | UNSRSG Special Representative | UN Special Representative | United Nations General | United Nations Special Envoy | Special Representative Secretary - General | Group Friends UNSG | Antonio Guterres
387,CON_387,Mauritania,Country/State,,,,MRT,Mauritania,435.0,Africa,,,,,,74.0,Government of Mauritania,https://ucdp.uu.se/actor/74,,,Mauritania is a Country/state in Africa.,Mauritania | Republic Mauritania
